ID_CLIENTE|NOMBRE|EMAIL|TELEFONO
2001|Ana Pérez|ana.pérez5@example.com|967803993
2002|Paula Torres|paula.torres21@example.com|975904844
2003|Roberto Cruz|roberto.cruz59@example.com|963372285
2004|Valeria Ortega|valeria.ortega57@example.com|902239839
2005|Lucía Ramírez|lucía.ramírez51@example.com|979785205
2006|Carlos Ramírez|carlos.ramírez90@example.com|935834236
2007|María Rodríguez|maría.rodríguez57@example.com|956846743
2008|Natalia Torres|natalia.torres22@example.com|910960384
2009|Natalia Díaz|natalia.díaz71@example.com|976195952
2010|Pedro Rojas|pedro.rojas8@example.com|927540301
2011|Ricardo Aguilar|ricardo.aguilar49@example.com|965388772
2012|Juan Vargas|juan.vargas95@example.com|920652077
2013|Juan Pérez|juan.pérez1@example.com|984217618
2014|Gabriela Aguilar|gabriela.aguilar36@example.com|936182714
2015|Diego Sánchez|diego.sánchez93@example.com|946483370
2016|Paula Rodríguez|paula.rodríguez20@example.com|940225137
2017|Carmen Gutiérrez|carmen.gutiérrez35@example.com|932065813
2018|Andrés Castillo|andrés.castillo61@example.com|986087213
2019|María Torres|maría.torres87@example.com|943621735
2020|Ricardo Cruz|ricardo.cruz58@example.com|930405067
2021|Andrés Morales|andrés.morales78@example.com|992925323
2022|Sofía Flores|sofía.flores33@example.com|941218001
2023|Sofía Suárez|sofía.suárez11@example.com|908333744
2024|Miguel Cruz|miguel.cruz14@example.com|990754615
2025|Natalia Castillo|natalia.castillo51@example.com|929130126
2026|Natalia Torres|natalia.torres21@example.com|909577016
2027|Gabriela Herrera|gabriela.herrera21@example.com|975485324
2028|Pedro Rodríguez|pedro.rodríguez15@example.com|987852185
2029|María Herrera|maría.herrera41@example.com|993064776
2030|Gabriela Herrera|gabriela.herrera72@example.com|990241178
2031|Paula Gómez|paula.gómez88@example.com|905296743
2032|María Morales|maría.morales22@example.com|954743624
2033|Carlos Morales|carlos.morales88@example.com|986637615
2034|Luis Cruz|luis.cruz69@example.com|910085235
2035|Natalia Gómez|natalia.gómez84@example.com|948855831
2036|Roberto Ortega|roberto.ortega40@example.com|904020083
2037|Pedro Flores|pedro.flores25@example.com|953849995
2038|Lucía Sánchez|lucía.sánchez92@example.com|918222651
2039|Valeria Aguilar|valeria.aguilar18@example.com|910719750
2040|Jorge Rojas|jorge.rojas71@example.com|961983339
2041|Elena Pérez|elena.pérez69@example.com|917338988
2042|Ana Torres|ana.torres54@example.com|909245718
2043|Sofía Rojas|sofía.rojas51@example.com|938927295
