ID_CUENTA|ID_CLIENTE|SALDO|TIPO_CUENTA
104035|2012|6289.81|Corriente
104036|2013|2050.21|Ahorros
104037|2014|3228.39|Corriente
104038|2015|9532.39|Ahorros
104039|2015|8595.75|Corriente
104040|2015|3991.76|Ahorros
104041|2016|4599.64|Ahorros
104042|2016|8983.91|Corriente
104043|2017|3403.48|Corriente
104044|2018|4255.65|Ahorros
104045|2018|6935.67|Corriente
104046|2019|6350.65|Ahorros
104047|2020|4024.19|Corriente
104048|2020|2688.64|Ahorros
104049|2020|4201.76|Corriente
104050|2021|2904.75|Ahorros
104051|2021|8500.43|Corriente
104052|2021|2482.51|Corriente
104053|2022|7885.88|Corriente
104054|2023|9229.72|Ahorros
104055|2023|4241.65|Corriente
104056|2024|2763.43|Corriente
104057|2025|9945.55|Corriente
104058|2025|2010.41|Corriente
104059|2025|1661.47|Corriente
104060|2026|1272.26|Corriente
104061|2026|3598.01|Ahorros
104062|2027|1728.82|Corriente
104063|2027|9556.05|Ahorros
104064|2027|1411.63|Ahorros
104065|2028|4838.76|Corriente
104066|2029|4983.80|Corriente
104067|2029|2163.70|Ahorros
104068|2029|2567.38|Corriente
104069|2030|9814.89|Corriente
104070|2030|9000.94|Ahorros
104071|2030|6939.09|Corriente
104072|2031|9970.69|Ahorros
104073|2031|860.46|Corriente
104074|2032|7727.92|Ahorros
104075|2032|1697.99|Corriente
104076|2032|5700.47|Corriente
104077|2033|2693.25|Ahorros
104078|2033|9459.16|Ahorros
104079|2033|6113.91|Corriente
104080|2034|6169.60|Ahorros
104081|2034|3118.92|Corriente
104082|2034|1054.19|Ahorros
104083|2035|4639.22|Ahorros
104084|2036|7472.64|Corriente
104085|2036|4971.16|Ahorros
104086|2036|5947.67|Corriente
104087|2037|5903.07|Corriente
104088|2037|8135.94|Corriente
104089|2038|1086.92|Ahorros
104090|2039|5974.57|Corriente
104091|2040|4943.22|Corriente
104092|2041|5199.03|Corriente
104093|2041|1539.73|Ahorros
104094|2041|7000.02|Ahorros
104095|2042|6437.01|Corriente
104096|2042|4692.69|Corriente
104097|2043|44.83|Corriente
104098|2043|1097.87|Corriente
104099|2044|4268.58|Corriente
104100|2045|5019.64|Corriente
104101|2046|9908.73|Ahorros
104102|2046|5540.01|Ahorros
104103|2047|7893.79|Corriente
104104|2047|5153.44|Ahorros
104105|2048|2648.72|Ahorros
104106|2048|1830.56|Corriente
104107|2049|6379.96|Ahorros
104108|2049|7671.05|Corriente
104109|2050|6531.10|Corriente
104110|2050|7135.13|Ahorros
104111|2051|1294.22|Corriente
104112|2052|5110.03|Ahorros
104113|2053|5889.55|Corriente
104114|2053|2121.36|Ahorros
104115|2054|6543.40|Ahorros
104116|2054|5798.26|Corriente
104117|2055|5836.03|Corriente
104118|2055|5138.58|Corriente
104119|2055|5574.46|Ahorros
104120|2056|7378.20|Corriente
104121|2057|5406.41|Ahorros
104122|2057|8462.36|Ahorros
104123|2058|2990.55|Ahorros
104124|2058|857.77|Corriente
104125|2059|4723.90|Corriente
104126|2059|2618.84|Ahorros
104127|2060|9966.21|Ahorros
104128|2061|707.17|Corriente
104129|2061|1660.27|Corriente
104130|2061|3984.12|Ahorros
104131|2062|3308.84|Ahorros
104132|2062|4544.35|Ahorros
104133|2063|1545.09|Corriente
104134|2064|9827.97|Corriente
104135|2064|7698.58|Corriente
104136|2065|3326.23|Ahorros
104137|2065|6605.03|Corriente
104138|2065|3976.35|Ahorros
104139|2066|3197.50|Ahorros
104140|2067|3205.20|Corriente
104141|2067|5174.51|Corriente
104142|2068|5970.80|Corriente
104143|2068|2631.02|Ahorros
104144|2069|9999.48|Corriente
104145|2069|6661.36|Corriente
104146|2070|7518.03|Corriente
104147|2070|575.50|Ahorros
104148|2070|4323.18|Corriente
104149|2071|2067.90|Corriente
104150|2072|1739.09|Ahorros
104151|2072|3971.01|Corriente
104152|2072|2992.65|Ahorros
104153|2073|2961.87|Corriente
104154|2073|6117.23|Corriente
104155|2074|3280.59|Corriente
104156|2075|1752.99|Corriente
104157|2075|6717.35|Ahorros
104158|2075|2117.76|Ahorros
104159|2076|7181.41|Corriente
104160|2076|2882.30|Corriente
104161|2076|9412.06|Ahorros
104162|2077|5077.30|Ahorros
104163|2078|484.08|Ahorros
104164|2078|1075.87|Ahorros
104165|2078|7625.55|Corriente
104166|2079|2395.40|Ahorros
104167|2079|953.30|Corriente
104168|2079|7604.28|Corriente
104169|2080|8835.03|Ahorros
104170|2080|3566.33|Ahorros
104171|2080|3098.47|Corriente
104172|2081|5806.66|Ahorros
104173|2081|4179.94|Ahorros
104174|2082|7302.82|Ahorros
104175|2082|1595.27|Ahorros
104176|2083|8090.05|Corriente
104177|2084|5222.06|Corriente
104178|2085|5359.43|Corriente
104179|2085|1691.95|Ahorros
104180|2085|8812.21|Corriente
104181|2086|4128.59|Corriente
104182|2087|976.50|Ahorros
104183|2088|5981.36|Corriente
104184|2089|4004.93|Corriente
104185|2090|297.67|Ahorros
104186|2090|9290.25|Ahorros
104187|2091|1030.67|Ahorros
104188|2091|4427.59|Ahorros
104189|2091|8914.17|Corriente
104190|2092|7018.62|Ahorros
104191|2092|4911.42|Ahorros
104192|2093|3531.53|Corriente
104193|2093|9086.96|Corriente
104194|2094|7257.79|Ahorros
104195|2094|1179.27|Corriente
104196|2095|7433.35|Ahorros
104197|2095|4607.66|Ahorros
104198|2096|7564.08|Ahorros
104199|2097|9814.27|Corriente
104200|2097|6006.27|Ahorros
104201|2097|4437.32|Corriente
104202|2098|4035.56|Ahorros
104203|2098|8172.90|Corriente
104204|2099|9808.53|Corriente
104205|2099|1871.61|Ahorros
104206|2099|5845.26|Corriente
104207|2100|8508.11|Ahorros
104208|2100|4857.18|Ahorros
104209|2100|3743.62|Ahorros
104210|2101|2626.74|Corriente
104211|2101|6209.69|Corriente
104212|2102|7795.90|Corriente
104213|2102|9625.27|Corriente
104214|2102|3544.85|Ahorros
104215|2103|6529.15|Corriente
104216|2103|7116.10|Ahorros
104217|2103|6071.97|Corriente
104218|2104|481.16|Corriente
104219|2105|9625.40|Corriente
104220|2105|7834.28|Ahorros
104221|2106|1185.87|Corriente
104222|2106|4975.55|Ahorros
104223|2106|5857.45|Ahorros
104224|2107|3081.32|Corriente
104225|2108|2335.46|Corriente
104226|2109|5265.38|Corriente
104227|2110|6289.20|Corriente
104228|2110|7632.11|Corriente
104229|2110|2037.65|Corriente
104230|2111|8476.70|Ahorros
104231|2111|9428.09|Corriente
104232|2112|1020.20|Ahorros
104233|2112|1337.38|Corriente
104234|2113|8465.04|Ahorros
104235|2113|7898.77|Corriente
104236|2114|9912.92|Ahorros
104237|2114|5338.86|Corriente
104238|2114|1315.01|Ahorros
104239|2115|2296.53|Ahorros
104240|2115|6909.76|Corriente
104241|2116|8379.72|Ahorros
104242|2116|6747.09|Corriente
104243|2116|8870.95|Ahorros
104244|2117|3231.24|Corriente
104245|2117|2987.87|Ahorros
104246|2118|4981.38|Corriente
104247|2119|4081.38|Corriente
104248|2119|8670.24|Ahorros
104249|2120|9682.67|Corriente
104250|2120|11.18|Ahorros
104251|2121|8505.31|Corriente
104252|2121|9698.10|Ahorros
104253|2122|7732.87|Ahorros
104254|2122|6588.36|Corriente
104255|2122|5224.96|Ahorros
104256|2123|9565.41|Ahorros
104257|2123|5317.05|Corriente
104258|2123|9089.31|Ahorros
104259|2124|2049.85|Ahorros
104260|2124|1618.39|Ahorros
104261|2124|3512.96|Corriente
104262|2125|9584.46|Corriente
104263|2126|9166.69|Ahorros
104264|2126|3539.60|Ahorros
104265|2126|5935.50|Corriente
104266|2127|3058.73|Ahorros
104267|2127|6097.57|Ahorros
104268|2127|3284.78|Ahorros
104269|2128|9240.08|Ahorros
104270|2128|660.99|Ahorros
104271|2128|7547.50|Corriente
104272|2129|8165.47|Corriente
104273|2129|6121.07|Corriente
104274|2129|3659.12|Ahorros
104275|2130|7150.93|Corriente
104276|2130|9258.30|Corriente
104277|2131|4821.40|Corriente
104278|2131|8244.28|Ahorros
104279|2131|2060.07|Ahorros
104280|2132|7687.76|Corriente
104281|2132|1462.46|Ahorros
104282|2133|8923.92|Ahorros
104283|2133|731.90|Ahorros
104284|2133|5053.49|Ahorros
104285|2134|9037.73|Ahorros
104286|2134|5989.57|Ahorros
104287|2134|3724.43|Corriente
104288|2135|3962.83|Ahorros
104289|2135|8314.36|Corriente
104290|2135|7082.13|Corriente
104291|2136|8272.56|Corriente
104292|2137|2381.96|Ahorros
104293|2138|9058.55|Corriente
104294|2138|6809.82|Ahorros
104295|2138|2939.32|Ahorros
104296|2139|470.14|Corriente
104297|2139|257.26|Ahorros
104298|2140|7725.05|Ahorros
104299|2140|1066.78|Corriente
104300|2140|80.23|Corriente
104301|2141|6965.21|Ahorros
104302|2141|1889.72|Corriente
104303|2141|8706.21|Corriente
104304|2142|5879.83|Ahorros
104305|2143|4535.69|Corriente
104306|2143|4370.47|Corriente
